cohort_month,n_users,total_revenue,ltv
2017-06,2923,3929833.38,1344.452062949025
2017-07,2458,168692.36,68.62992676973148
2017-08,1721,544189.41,316.20535153980245
2017-09,3058,1229544.97,402.074875735775
2017-10,4678,171036.14,36.561808465156055
2017-11,4262,247140.33,57.986938057250114
2017-12,4074,217506.68,53.38897398134512
2018-01,3119,134109.13,42.997476755370315
2018-02,3186,81970.11,25.72822033898305
2018-03,2838,145269.41,51.187248062015506
2018-04,1890,76866.62,40.67016931216931
2018-05,2316,16048.81,6.929537996545768
